dataset,num_customers,model,avg_score,avg_distance,avg_runtime,avg_feasibility_rate,avg_fill_rate,avg_unpacked_boxes,avg_route_count,avg_route_fill,min_route_fill,max_route_fill,avg_route_fill_std,avg_tiny_route_count,avg_merged_route_count,avg_overflow_route_count,avg_route_balance_penalty,avg_fill_balance_penalty,avg_boxes_per_route,avg_customers_per_route,std_dev_score,std_dev_runtime,best_score,worst_score,best_runtime,worst_runtime
XML750_1111_01_merged_with_boxes_norm,750,proposed_no_final_refinement,344309.16319038044,343736.30242452567,254.3077339699841,1.0,0.09835266108722225,0.0,27.3,0.09835266108722225,0.016946757211957868,0.14414377377097054,0.013543739146754524,0.3,0.6,0.6,51.64179894179898,0.06473289090235397,68.6271164021164,27.480158730158728,3167.24171641425,24.94009364540321,339044.58159154997,350058.8879781684,212.57566309999675,287.70151659997646
XML750_1111_01_merged_with_boxes_norm,750,proposed_no_relocation,346517.5188265654,345968.2343291823,186.54573982000002,1.0,0.09799759732878463,0.0,27.4,0.09799759732878463,0.01465088567860494,0.12565779000062322,0.013535549821476802,0.4,0.2,0.2,55.5513227513228,0.06629891384707333,68.37936507936507,27.38095238095238,5667.9266586163685,11.348648984358862,340684.1691984757,359622.88508401293,168.97124029998668,205.00485080003273
XML750_1111_01_merged_with_boxes_norm,750,proposed_no_route_balance_mutation,342526.9756535186,341927.5709373276,249.57622281000369,1.0,0.097642533570347,0.0,27.5,0.097642533570347,0.02140227854567176,0.12954617045273228,0.014375862049614769,0.5,0.0,0.0,67.91164021164028,0.07179893562447205,68.13161375661375,27.28174603174603,8687.187923991603,32.76396461184505,329998.87700057303,357808.86749016616,200.06675769999856,311.5264687000308
XML750_1111_01_merged_with_boxes_norm,750,proposed_no_tiny_repair,342465.5085476016,341674.62185769214,241.21007788999995,1.0,0.09657734229503412,0.0,27.8,0.09657734229503412,0.01185851737204159,0.13764792277334156,0.01637208980301865,0.8,0.0,0.0,94.50820105820114,0.0877311859371744,67.3883597883598,26.98412698412698,5712.7173560080355,18.405096306022653,330211.0372930295,350235.13544574345,219.70948719998705,270.49987389997113
XML750_1142_01_merged_with_boxes_norm,750,proposed_full,329952.70513153163,329400.06776829954,232.67581762000336,1.0,0.10230412191868246,0.0,28.0,0.10230412191868246,0.05361568018758246,0.13227987744703887,0.013532424571202423,0.2,0.0,0.0,69.33571428571432,0.06327006576749246,67.82142857142857,26.785714285714285,4208.379148858885,15.998073442696752,323092.43326853384,336692.33777816384,210.39918449998368,257.506973200012
XML750_1142_01_merged_with_boxes_norm,750,proposed_no_adaptive,328699.98503388587,328077.4005941931,141.56998133998712,1.0,0.10230412191868246,0.0,28.0,0.10230412191868246,0.046050690213388194,0.13497472636265523,0.013611998614470596,0.6,0.0,0.0,68.86428571428576,0.06926851215656585,67.82142857142857,26.785714285714285,7179.870761901807,8.582707102729573,315543.9960460516,340561.73428368627,125.29511000000639,152.7497246999992
XML750_1142_01_merged_with_boxes_norm,750,proposed_no_final_refinement,329952.70513153163,329400.06776829954,206.73381433999165,1.0,0.10230412191868246,0.0,28.0,0.10230412191868246,0.05361568018758246,0.13227987744703887,0.013532424571202423,0.2,0.0,0.0,69.33571428571432,0.06327006576749246,67.82142857142857,26.785714285714285,4208.379148858885,18.171871286273095,323092.43326853384,336692.33777816384,178.4329181999783,239.27547520003282
XML750_1142_01_merged_with_boxes_norm,750,proposed_no_relocation,329961.875046357,329299.9957530001,198.4648008300108,1.0,0.10230412191868246,0.0,28.0,0.10230412191868246,0.03810559354469197,0.13355267948614305,0.01446530296332342,0.8,0.0,0.0,69.4571428571429,0.07495830245710239,67.82142857142857,26.785714285714285,4355.974113031428,14.215070963052552,324583.9509224264,339406.3211693041,177.9250348000205,215.17087299999548
XML750_1142_01_merged_with_boxes_norm,750,proposed_no_route_balance_mutation,330346.6007537769,329803.59261878,223.13877579999388,1.0,0.10230412191868246,0.0,28.0,0.10230412191868246,0.04590612334754605,0.13971881634928945,0.013238665566321486,0.2,0.0,0.0,67.4071428571429,0.06385990364632937,67.82142857142857,26.785714285714285,3851.7845710134943,22.841266598800487,322454.2556586227,335837.71238016797,195.38443299999926,261.43846099998336
XML750_1142_01_merged_with_boxes_norm,750,proposed_no_tiny_repair,329952.70513153163,329400.06776829954,236.07970091999158,1.0,0.10230412191868246,0.0,28.0,0.10230412191868246,0.05361568018758246,0.13227987744703887,0.013532424571202423,0.2,0.0,0.0,69.33571428571432,0.06327006576749246,67.82142857142857,26.785714285714285,4208.379148858885,16.555324144085453,323092.43326853384,336692.33777816384,215.70585109997774,263.3919141999795
